Area ,Policy ,M Code,LR,,,,,,,,,
Environment ,Plan for strategic public investment in developing the renewable energy sector,416,L,,,,,,,,,
Environment ,including the establishment of a profitable company or companies in public ownership.,413,L,,,,,,,,,
Environment ,Set a target for becoming a net exporter of electricity from renewable sources.,416,L,,,,,,,,,
Environment ,Reform the current exploration licensing and taxation regime and renegotiate oil and gas contracts.,413,L,,,,,,,,,
Environment ,"Establish a State oil, gas and mineral exploration company that would actively participate and invest in exploration",413,L,,,,,,,,,
Environment ,Develop an island-wide animal health strategy.,501,L,,,,,,,,,
Environment ,Sinn Féin is committed to doing all that we can to secure a viable future for coastal communities and economies.,501,L,,,,,,,,,
Environment ,Ireland’s fisheries have been scandalously sacrificed since EU accession in 1973.,501,L,,,,,,,,,
Environment ,protecting the environment,501,L,,,,,,,,,
Environment ,Everyone in Ireland has the right to a clean and safe environment.,501,L,,,,,,,,,
Environment ,Sinn Féin is committed to sustainable development,416,L,,,,,,,,,
Environment ,and robust environmental protection.,501,L,,,,,,,,,
Environment ,This necessarily involves the use of legislation that challenges the attitudes and practices of businesses and consumers alike and promotes behavioural change.,416,L,,,,,,,,,
Environment ,"We fully recognise that global warming is one of the most serious challenges facing us all, demanding urgent action.",501,L,,,,,,,,,
Environment ,"We know there is much that can and must be done at local, regional and national level to reduce greenhouse gas emissions.",501,L,,,,,,,,,
Environment ,Sinn Féin has green credentials that rival any party on the island.,305,N,,,,,,,,,
Environment ,We firmly oppose nuclear energy and have long campaigned against Sellafield.,305,N,,,,,,,,,
Environment ,"We are committed to the promotion of a zero waste strategy that rejects incineration,",406,L,,,,,,,,,
Environment ,keeps landfill to an absolute minimum,501,L,,,,,,,,,
Environment ,"and supports waste reduction, reuse and recycling.",406,L,,,,,,,,,
Environment ,We are committed to vigorously promoting energy efficiency and renewable energy.,406,L,,,,,,,,,
Environment ,"We will continue with this constructive approach in creating an environmentally sound, sustainable future for Ireland.",406,L,,,,,,,,,
Environment ,"Sinn Féin supports strong environmental regulation at all-Ireland, EU and global levels as the only way to protect the right to a clean environment.",416,L,,,,,,,,,
Environment ,We commit ourselves to the principle of sustainable development.,416,L,,,,,,,,,
Environment ,"We will legislate and regulate to proactively safeguard our air, rivers, lakes, wetlands, boglands, remaining forests, coastal zones and oceans.",501,L,,,,,,,,,
Environment ,We will support the sustainable use of renewable natural resources,416,L,,,,,,,,,
Environment ,and the conservation of nonrenewable natural resources through efficient use and careful planning.,416,L,,,,,,,,,
Environment ,We will introduce legislation to minimise the production of waste and work,416,L,,,,,,,,,
Environment ,"towards a zero waste society through a policy centred on reduction, reuse and recycling.",416,L,,,,,,,,,
Environment ,We will continue to oppose incineration.,416,L,,,,,,,,,
Environment ,We support the polluter pays principle and we will apply it in a manner that does not disproportionately penalise small businesses and those on lower incomes.,504,L,,,,,,,,,
Environment ,We will abolish refuse charges as they are an unfair and unjust double tax.,408,N,,,,,,,,,
Environment ,We believe that carbon reduction and not emissions trading should be the basis of government policy on climate change.,416,L,,,,,,,,,
Environment ,"We will introduce a Comprehensive Carbon Reduction Strategy that includes an emphasis on renewable energy production,",416,L,,,,,,,,,
Environment ,"improved energy efficiency and conservation, improved public transport and investment in research and development.",416,L,,,,,,,,,
Environment ,We will continue to oppose nuclear energy as it is not a safe carbon-free source.,416,L,,,,,,,,,
Healthcare ,Begin to reverse privatisation of healthcare by immediately ending tax breaks for private hospitals,413,L,,,,,,,,,
Healthcare ,and the land gift scheme and investing all health funding in the public system.,504,L,,,,,,,,,
Healthcare ,Provide full medical cards for all under the poverty line,504,L,,,,,,,,,
Healthcare ,and all under18s (as a transitional measure towards a fully universal public access service) in the first Sinn Féin Budget.,504,L,,,,,,,,,
Healthcare ,Make all new hospital consultant posts public-only.,504,L,,,,,,,,,
Healthcare ,"Ensure working conditions, promotion prospects and remuneration sufficient to maintain trained staff in the public service,",701,L,,,,,,,,,
Healthcare ,halting the exodus from the public system and from the country.,701,L,,,,,,,,,
Healthcare ,Immediately establish a Healthcare Funding Commission to report within a reasonable time-frame on the projected costs of the transition to an all-Ireland system,601,R,,,,,,,,,
Healthcare ,"of universal healthcare provision (taking into account all spending on health services under the current systems, including state funding and spending on private insurance),",504,L,,,,,,,,,
Healthcare ,and to make recommendations on how the State can best harness our resources in the interests of more equitable and efficient delivery.,504,L,,,,,,,,,
Healthcare ,Hold a referendum to amend the current 1937 Irish Constitution to include the right to healthcare.,201,L,,,,,,,,,
Healthcare ,Develop a network of modern and accessible Primary Care Treatment Centres run by properly-resourced multi-disciplinary and multi-agency Primary Care Teams.,504,L,,,,,,,,,
Healthcare ,Start this process by completing the rollout of the Primary Care Centres promised throughout the State on an accelerated timetable.,504,L,,,,,,,,,
Healthcare ,Appoint salaried GPs to work in the Primary Care Teams,504,L,,,,,,,,,
Healthcare ,and negotiate to phase in salaried contracts for all other GPs.,504,L,,,,,,,,,
Healthcare ,"Make advanced screening services (ie national breast and cervical cancer screening) available locally, promptly and widely",504,L,,,,,,,,,
Healthcare ,– based on risk criteria rather than age alone – to ensure early detection of cancers and other illnesses.,504,L,,,,,,,,,
Healthcare ,"Introduce a timetabled and fully resourced strategy to deliver into the public hospital system the additional 3,000 hospital beds required.",504,L,,,,,,,,,
Healthcare ,"Plan for enhanced provision of essential public nursing home beds,",504,L,,,,,,,,,
Healthcare ,community care facilities,504,L,,,,,,,,,
Healthcare ,"and home care,",504,L,,,,,,,,,
Healthcare ,to take pressure off A&Es and ensure care delivery in the most appropriate setting.,504,L,,,,,,,,,
Healthcare ,"Halt the over-centralisation of hospital facilities,",301,N,,,,,,,,,
Healthcare ,"reverse cutbacks in services at local hospitals,",504,L,,,,,,,,,
Healthcare ,"and institute a national plan for the provision and resourcing of hospital care,",504,L,,,,,,,,,
Healthcare ,including clear access targets within an equality framework.,503,L,,,,,,,,,
Healthcare ,Configure all hospitals to ensure that emergency services are available as locally as possible.,301,N,,,,,,,,,
Healthcare ,"For the vast majority of the population, these services should be located less than 45 minutes travel time away.",301,N,,,,,,,,,
Healthcare ,No one should be more than one hour’s travel time from an A&E unit when the three critical access factors are taken into account:,301,N,,,,,,,,,
Healthcare ,"hospital location, road conditions and ambulance provision.",504,L,,,,,,,,,
Healthcare ,"Invest significantly in the ambulance service,",504,L,,,,,,,,,
Healthcare ,"including upgrading of the existing fleet,",504,L,,,,,,,,,
Healthcare ,and introduce an air ambulance fleet.,504,L,,,,,,,,,
Healthcare ,Fully implement the Mental Health Act,504,L,,,,,,,,,
Healthcare ,2001 and the recommendations of the Government’s Mental Health Expert Group as set out in their report A Vision for Change (2006).,504,L,,,,,,,,,
Healthcare ,"Introduce a spending programme to counteract decades of underfunding,",504,L,,,,,,,,,
Healthcare ,"followed by ring-fencing at least 12% of the health budget for mental health services,/ as recommended by the UN World Health Organisation.",504,L,,,,,,,,,
Healthcare ,"Reconfigure primary, secondary and children’s/adolescent mental healthcare services",504,L,,,,,,,,,
Healthcare ,"to manage a shift away from secondary services over the next 5-10 years,",504,L,,,,,,,,,
Healthcare ,so that the vast majority of mental healthcare is provided by Primary Mental Healthcare Teams (providing a 24 hour service).,706,L,,,,,,,,,
Healthcare ,Establish a network of step-down services,504,L,,,,,,,,,
Healthcare ,and other comprehensive community supports for transition out of secondary care facilities.,504,L,,,,,,,,,
Healthcare ,Establish an All-Ireland Mental Health Commission,601,R,,,,,,,,,
Healthcare ,to promote and implement the best standards of care within the mental health services,504,L,,,,,,,,,
Healthcare ,and to fund research on an all-Ireland basis.,504,L,,,,,,,,,
Healthcare ,Invest in further clinical and community-based research on suicide prevention,504,L,,,,,,,,,
Healthcare ,"and produce a fully resourced, comprehensive All-Ireland Suicide Prevention Strategy.",601,R,,,,,,,,,
Healthcare ,Expand the spectrum of drug and alcohol treatment services,504,L,,,,,,,,,
Healthcare ,available and dedicate adequate funding to eliminate treatment waiting lists.,504,L,,,,,,,,,
Healthcare ,Establish a timetable for implementation of the 2001 Report of the National Advisory Committee on Palliative Care.,504,L,,,,,,,,,
Healthcare ,Ensure regional equity in the delivery of hospice and other palliative services.,301,N,,,,,,,,,
Healthcare ,Introduce a state-funded scheme for Compassionate Care Leave.,504,L,,,,,,,,,
Healthcare ,Provide funding for the development of paediatric palliative care.,504,L,,,,,,,,,
Healthcare ,Establish a statutory inquiry into the scandal of organ retention in the Irish health system.,304,N,,,,,,,,,
Healthcare ,Carry out an investigation into the barbaric practice of symphisiotomy.,304,N,,,,,,,,,
Healthcare ,Proceed with the new National Children’s Hospital at the Mater Hospital site as a centre for provision of tertiary paediatric services.,504,L,,,,,,,,,
Healthcare ,This new hospital should provide services on an all-Ireland basis,601,R,,,,,,,,,
Healthcare ,and should include services that are not currently provided on the island of Ireland,504,L,,,,,,,,,
Healthcare ,and for which children have to travel abroad.,706,L,,,,,,,,,
Healthcare ,Retain the maximum possible number of paediatric services and in patient beds at  Tallaght Hospital.,504,L,,,,,,,,,
Healthcare ,Prevent the closure of the current Children’s Hospital there.,504,L,,,,,,,,,
Healthcare ,"Retain Crumlin Children’s Hospital as a child-focussed healthcare facility, including primary, secondary and tertiary care for children.",504,L,,,,,,,,,
Healthcare ,Increase the overall hospital bed capacity,706,L,,,,,,,,,
Healthcare ,for children.,706,L,,,,,,,,,
Healthcare ,"Put in place a coherent structure to co-ordinate acute hospital services in the Dublin region,",504,L,,,,,,,,,
Healthcare ,maximising the resources in all the hospitals in the capital to ensure their most effective use.,504,L,,,,,,,,,
Healthcare ,Provide appropriate paediatric hospital services in the regions.,504,L,,,,,,,,,
Housing ,"Sinn Féin believes that housing, like healthcare, is a basic inalienable human right.",201,L,,,,,,,,,
Housing ,Sinn Féin proposes fundamental reform to ensure that everyone has equal access,503,L,,,,,,,,,
Housing ,"to adequate, appropriate and affordable accommodation as of right.",504,L,,,,,,,,,
Housing ,"We will bring social housing to the centre of provision,",504,L,,,,,,,,,
Housing ,with an ambitious five year social housing new build programme.,504,L,,,,,,,,,
Housing ,We propose radical complementary measures to intervene in the housing market,412,L,,,,,,,,,
Housing ,to prevent the anti-social private housing speculation that fuels house price inflation to ensure that more affordable housing is available and is actually affordable.,504,L,,,,,,,,,
Housing ,We are also proposing the introduction of a more robust and comprehensive system of tenant rights,504,L,,,,,,,,,
Housing ,including rent control.,412,L,,,,,,,,,
Housing ,Our Dáil Team called on the Government to adopt and implement the National Economic and Social Council (NESC) recommendations on the provision of social housing.,504,L,,,,,,,,,
Housing ,"We proposed a legislative amendment to section 5 of the Housing (Miscellaneous Provisions) Bill 2004, proposing a requirement to price housing units designated as ‘affordable’ at cost-price, meaning a price equal to the cost of construction.",412,L,,,,,,,,,
Housing ,We published and debated legislation to remove the ‘get-out clauses’ for developers under the Planning and Development Acts that allow them to pay off local authorities rather than provide social and affordable housing units (the Planning and Development (Amendment) Bill 2006).,504,L,,,,,,,,,
Housing ,"We published and debated legislation to introduce a constitutional right to housing/ (the Twenty-Seventh Amendment of the Constitution (No. 2) Bill 2003, which sought to amend Article 40 of the 1937 Constitution).",203,N,,,,,,,,,
Housing ,Hold a referendum to add the right to adequate and appropriate housing in the 1937 Constitution.,201,L,,,,,,,,,
Housing ,Establish a Housing Ombudsman to provide an administrative remedy short of the courts.,303,N,,,,,,,,,
Housing ,Establish a National Housing Strategy and a National Housing Agency to plan and regulate all aspects,504,L,,,,,,,,,
Housing ,of housing provision on an all-Ireland basis.,601,R,,,,,,,,,
Housing ,Establish a Department of Housing with a full Minister.,504,L,,,,,,,,,
Housing ,"Construct 70,000 new units by 2012 to accommodate social housing need (a new build rate of approximately 14,000 per annum).",504,L,,,,,,,,,
Housing ,"Amend the Planning and Development Act (2002) to remove the ‘getout clauses’ for developers in Part V, and stipulate that all new developments must allocate 30% to social and affordable housing, with at least 10% social and at least 10% affordable housing.",504,L,,,,,,,,,
Housing ,"Oppose any sale of public land to private developers by local authorities in the absence of adequate social housing provision,",413,L,,,,,,,,,
Housing ,and reject any local authority housing plan that does not contain social and/or affordable housing or does not promote social inclusion.,504,L,,,,,,,,,
Housing ,"Plan to end local authority waiting lists,",504,L,,,,,,,,,
Housing ,with a target to supply suitable accommodation to 70% within two years.,504,L,,,,,,,,,
Housing ,"Legislate to require that any social housing stock sold is replaced on a unit-for-unit basis,",504,L,,,,,,,,,
Housing ,"Use Compulsory Purchase Orders to acquire land, derelict properties and properties vacant for 12 months or more for social housing,",413,L,,,,,,,,,
Housing ,allowing a fair and transparent appeals procedure.,304,N,,,,,,,,,
Housing ,with meaningful targets and adequate resources to progressively reduce and eliminate homelessness (beginning with elimination of street homelessness by the year 2010).,504,L,,,,,,,,,
Housing ,Put the existing homelessness strategies and Local Homelessness Action Plans on a statutory footing.,504,L,,,,,,,,,
Housing ,Honour the commitment made in Towards 2016 that by 2010 nobody will be living in emergency accommodation for longer than an actual emergency.,504,L,,,,,,,,,
Housing ,Legislate to ensure that housing units designated as ‘affordable’ are priced at cost-price.,412,L,,,,,,,,,
Housing ,Increase mortgage interest relief for first time mortgage-holders and principle home owners who earn up to the average industrial wage.,403,L,,,,,,,,,
Housing ,"Take strong action against speculative practices that inflate housing prices, such as abolishing tax incentives",403,L,,,,,,,,,
Housing ,"that effectively encourage unfair competition between investors and first-time or principal home buyers, introducing a tax on windfall gains from planning decisions in recognition and compensation for betterment by the State,",403,L,,,,,,,,,
Housing ,and imposing a statutory ceiling on the price of land zoned for housing.,403,L,,,,,,,,,
Housing ,Support and promote co-operative housing ownership.,504,L,,,,,,,,,
Housing ,"Create a Housing Agency to establish legally enforceable codes of practice for developers, house builders and vendors, mortgage brokers, estate agents, auctioneers and solicitors.",412,L,,,,,,,,,
Housing ,"Establish a Housing Ombudsperson with a remit to monitor and enforce the relevant codes of conduct, provide an effective remedy short of the courts, monitor the implementation of housing and planning legislation, monitor changes in house prices, mortgage interest rates and professional fees, support enforcement of snag lists and ensure an end to gazumping.",303,N,,,,,,,,,
Housing ,Strengthen regulation of property management companies   and legislate to ensure all public areas are managed by the local authority and not outsourced to private management.,403,L,,,,,,,,,
Housing ,"Legislate to improve the standard of housing and apartments including increasing the minimum size of one bed and two bed apartments, increasing the ceiling height,",412,L,,,,,,,,,
Housing ,ensuring that balconies are recessed into apartment space and ensuring that social and affordable housing is built to the same standard as private housing in the same development.,412,L,,,,,,,,,
Housing ,"Introduce a system of comprehensive legal protection for tenants,",201,L,,,,,,,,,
Housing ,"including: a system to regulate, monitor and enforce security of tenure standards (regarding length of leases, deposits and evictions), accommodation standards (including a right to maintenance and repairs)",403,L,,,,,,,,,
Housing ,and a system of rent control for fair rent.,412,L,,,,,,,,,
Housing ,Legislate for the power to bar unscrupulous landlords from letting property.,412,L,,,,,,,,,
Tax,"Keep those on or below the minimum wage out of the tax net,",503,L,,,,,,,,,
Tax,and set the minimum wage at a minimum of 60% of average industrial earnings.,503,L,,,,,,,,,
Tax,Keep those on or below the average industrial earnings within the standard rate tax band.,503,L,,,,,,,,,
Tax,Oppose the introduction of user fees and service charges for essential public services and review the existing charges,412,L,,,,,,,,,
Tax,that apply to public services to plan for their reduction and removal.,412,L,,,,,,,,,
Tax,"Conduct a comprehensive review of the VAT system in order to identify the best ways to reduce the consumption tax burden on the lowest paid within present EU constraints,.",503,L,,,,,,,,,
Tax,"Campaign at EU level for repeal of the EU VAT Directive to restore Member State sovereignty on VAT,",110,N,,,,,,,,,
Tax,and determine the most appropriate way to achieve VAT harmonisation on an all-Ireland basis.,601,R,,,,,,,,,
Tax,Aggressively pursue tax evasion,605,R,,,,,,,,,
Tax,and invest adequate resources for tax collection and enforcement.,605,R,,,,,,,,,
Tax,Close all remaining legal loopholes that have allowed millionaires to pay no tax whatsoever.,503,L,,,,,,,,,
Tax,Introduce legislation to end tax exile status – the ability of high income individuals to declare themselves ‘non-resident for tax purposes’.,503,L,,,,,,,,,
Tax,Review all current tax exemptions and retain only those where the economic and social value clearly outweighs the cost of the exemption to the Exchequer (for example in the case of R&D).,503,L,,,,,,,,,
Tax,"Increase restrictions on the use of specified tax reliefs by high-income individuals, for example by introducing a ceiling on exempt income.",503,L,,,,,,,,,
Tax,"Conduct an early, comprehensive review of the tax system to be completed within one year,",503,L,,,,,,,,,
Tax,in order to ensure a just and equitable system where everyone pays their fair share of tax but no more than that.,503,L,,,,,,,,,
Tax,"Work for the restoration of economic sovereignty and for EU Member States to retain complete control over taxation policy and strategy,",110,N,,,,,,,,,
Tax,and in particular work for the restoration of Member State competence in relation to VAT through repeal of the EU VAT Directive.,110,N,,,,,,,,,
Tax,Negotiate for tax harmonisation across the island.,601,R,,,,,,,,,
Unification ,"Complete a Green Paper on Irish Unity within one year,",601,R,,,,,,,,,
Unification ,identifying steps and measures to promote and assist a successful transition to a United Ireland.,601,R,,,,,,,,,
Unification ,Give all stakeholders in society on the island an opportunity to take ownership of the debate on the Green Paper and to participate in the process this initiates.,601,R,,,,,,,,,
Unification ,Appoint a Minister of State with the dedicated and specific responsibility of driving forward and developing policy options and strategies to advance the outcomes of the Green Paper,601,R,,,,,,,,,
Unification ,and to direct and co-ordinate the Government’s all-Ireland policies across Departments.,601,R,,,,,,,,,
Unification ,"Refer the Green Paper to a dedicated Joint Committee of the Oireachtas on Irish Unity to monitor, assess and report progress on implementation.",601,R,,,,,,,,,
Unification ,Introduce 6 County elected representation in the Houses of the Oireachtas.,601,R,,,,,,,,,
Unification ,Legislate to extend to the 6 County electorate the right to vote in Presidential elections.,601,R,,,,,,,,,
Unification ,"Secure a referendum on Irish Unity to be held simultaneously, north and south.",601,R,,,,,,,,,
Unification ,Establish the All-Ireland Inter-Parliamentary Forum.,601,R,,,,,,,,,
Unification ,Establish a Six County Civic Forum and the All-Ireland Consultative Civic Forum.,601,R,,,,,,,,,
Unification ,Ensure maximum co-ordination and co-operation between the human rights and equality bodies north and south and real progress towards the All-Ireland Charter of Rights.,601,R,,,,,,,,,
Unification ,Pursue a comprehensive programme to maximise all-Ireland economic and social planning across a range of areas outlined in the following sections of this manifesto.,601,R,,,,,,,,,